id,uniqueId,language,discipline,type,difficulty,question,optionA,optionB,optionC,optionD,correct,sourceUrl,sourceExcerpt
00062136-94b2-463a-8ae3-331e9d88eaf8,00062136-94b2-463a-8ae3-331e9d88eaf8,English,Animation & Rigging,Multiple Choice,Beginner,"You need a character's feet to stay planted on the ground, even on uneven terrain. Which system helps achieve this?",IK (Inverse Kinematics),Blend Spaces,Animation Montages,State Machines,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/animation-blueprints-in-unreal-engine,Inverse kinematics (IK) is a technique used in animation to calculate joint angles in order to achieve a desired end-effector position.
001b3bd0-a0f8-4163-814f-0ea3c38f66fa,001b3bd0-a0f8-4163-814f-0ea3c38f66fa,English,Animation,Multiple Choice,Expert,"Motion Matching in your project causes character sliding, despite proper setup. What is the likely cause?",The Pose Search Database lacks sufficient animation variety or incorrect feature weights.,Root Motion is disabled on the character's movement component.,The Animation Blueprint is not set to 'Always Relevant'.,The 'Use Controller Rotation Yaw' is disabled on the Character Movement Component.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/motion-matching-in-unreal-engine,"With more animation data, the Motion Matching node has access to more data to select from, without the need to alter or implement additional transition logic."
0047daa9-4f14-41a8-916e-f3890983719c,0047daa9-4f14-41a8-916e-f3890983719c,English,Game Dev,Multiple Choice,Hard,"A player's game crashes, and their progress is lost. Which saving strategy is MOST likely to prevent data loss and ensure a reliable save game experience?",Always use synchronous saving for simplicity.,Only save data on level transitions.,Use asynchronous saving to prevent hitches and data loss.,Save the entire game state every tick.,C,https://dev.epicgames.com/documentation/en-us/unreal-engine/gameplay-framework-in-unreal-engine,"Unreal Engine (UE) features a saving and loading system that revolves around one or more custom SaveGame classes that you create to meet your game's specific needs, including all of the information that you need to preserve across multiple play sessions."
0057b737-5faa-44ba-b200-5f6a919ce892,0057b737-5faa-44ba-b200-5f6a919ce892,English,VFX,Multiple Choice,Medium,"When working with hair in Unreal Engine 5, which asset type is primarily responsible for storing the imported hair geometry and associated data from an Alembic file, allowing for shading and rendering modifications?",Groom Asset,Groom Binding asset,Skeletal Mesh,Control Rig,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/groom-components-and-assets-in-unreal-engine,A Groom asset that stores the imported groom data from an Alembic file.
00afc335-cdc8-461d-b7fe-846ceec071b6,00afc335-cdc8-461d-b7fe-846ceec071b6,English,Programming,Multiple Choice,Hard,A UObject is unexpectedly garbage collected before its intended lifetime. Which of the following is the MOST likely reason for this premature destruction?,The UObject is not referenced by the root set or another reachable UObject.,The UObject's class does not have the UCLASS macro.,The UObject's constructor calls ConditionalBeginDestroy.,The UObject is only referenced by a TWeakObjectPtr.,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/garbage-collection-in-unreal-engine,"The key idea behind Unreal Engine's garbage collection is that you simply create objects as needed, and so long as they are in use, they will not be deleted."
00e88742-6957-4564-bf97-1725d8f2c934,00e88742-6957-4564-bf97-1725d8f2c934,English,Programming,Multiple Choice,Hard,A replicated actor's properties aren't updating on clients. What is the first thing you should check?,The actor's NetDormancy is set to DormancyAwake.,The actor's NetPriority is set to a high value.,The actor's NetUpdateFrequency is set to a reasonable value (greater than 0).,The actor's component replication is enabled.,C,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-in-unreal-engine,Ensure NetUpdateFrequency is set to a reasonable value to allow updates.
011f9ec6-988c-498f-92e7-2f903b0b3e7a,011f9ec6-988c-498f-92e7-2f903b0b3e7a,English,Look Dev,True/False,Medium,Enabling 'Extend default luminance range' within the Auto Exposure settings of a project directly modifies the default minimum and maximum brightness values accessible within the Post Process Volume's Auto Exposure settings.,TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/auto-exposure-in-unreal-engine,"You can enable this option from the Project Settings in the Rendering > Default Settings section by placing a check next to Extend default luminance range in Auto Exposure settings. Enabling this setting changes the default Post Process Volume values for the Min Brightness and Max Brightness, along with the Histogram Log Min and Histogram Log Max names"
012fe6d2-3f3c-4a77-952e-9107fdc4cf84,012fe6d2-3f3c-4a77-952e-9107fdc4cf84,English,Tech Art,True/False,Hard,Enabling 'Keep Triangle Order' on a <b>Nanite</b> mesh is crucial for correct rendering of baked lighting or custom vertex normals.,TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,Nanite is Unreal Engine 5's virtualized geometry system which uses a new internal mesh format and rendering technology to render pixel scale detail and high object counts.
01386ce1-a291-455c-ae2c-467c02d88e9d,01386ce1-a291-455c-ae2c-467c02d88e9d,English,Tech Art,True/False,Beginner,"When using Nanite, it is generally best practice to import assets directly from your DCC software without any manual LOD creation.",TRUE,FALSE,,,A,https://dev.epicgames.com/documentation/en-us/unreal-engine/nanite-virtualized-geometry-in-unreal-engine,"With Nanite, you no longer need to bake details into Normal Maps or carefully author LODs for your assets."
018fb427-594b-4e27-953f-0929bf30cfdc,018fb427-594b-4e27-953f-0929bf30cfdc,English,Programming,Multiple Choice,Hard,Your team uses replicated movement. Players report jitter on high-latency connections. Which setting impacts this the most?,Adjust 'Max নেট Relevant Distance' in the Actor's properties.,Enable 'bUseControllerRotationYaw' and adjust 'Net Client extrapolation' settings.,Increase the 'NetUpdateFrequency' on the CharacterMovementComponent.,Disable 'RunPhysicsWithNoController' in Project Settings.,B,https://dev.epicgames.com/documentation/en-us/unreal-engine/replication-in-unreal-engine,"Character and Vehicle based motion, physics, and prediction ""just work"" out of the box."
